          ----- ----- | --------- --------- |
  502.000     1   503 |    0.0004    0.3204 |
  503.000     1   504 |    0.0007    0.3211 |
  504.000     1   505 |    0.0004    0.3215 |
  505.000     1   506 |    0.0004    0.3219 |
  506.000     1   507 |    0.0002    0.3221 |
  507.000     1   508 |    0.0006    0.3227 |
  508.000     1   509 |    0.0004    0.3231 |
  509.000     1   510 |    0.0002    0.3233 |
  510.000     1   511 |    0.0002    0.3235 |
  511.000     1   512 |    0.0002    0.3237 |
  512.000     1   513 |    0.0002    0.3239 |
  513.000     1   514 |    0.0002    0.3240 |
  514.000     1   515 |    0.0004    0.3245 |
  515.000     1   516 |    0.0002    0.3246 |
  516.000     1   517 |    0.0002    0.3248 |
  517.000     1   518 |    0.0010    0.3258 |
  518.000     1   519 |    0.0002    0.3259 |
  519.000     1   520 |    0.0002    0.3261 |
  520.000     1   521 |    0.0002    0.3264 |
  521.000     1   522 |    0.0004    0.3268 |
  522.000     1   523 |    0.0002    0.3270 |
  523.000     1   524 |    0.0002    0.3272 |
  524.000     1   525 |    0.0004    0.3276 |
  525.000     1   526 |    0.0002    0.3279 |
  526.000     1   527 |    0.0006    0.3284 |
  527.000     1   528 |    0.0006    0.3290 |
  528.000     1   529 |    0.0010    0.3300 |
  529.000     1   530 |    0.0006    0.3306 |
  530.000     1   531 |    0.0002    0.3307 |
  531.000     1   532 |    0.0002    0.3309 |
  532.000     1   533 |    0.0002    0.3311 |
  533.000     1   534 |    0.0002    0.3313 |
  534.000     1   535 |    0.0002    0.3314 |
  535.000     1   536 |    0.0002    0.3316 |
  536.000     1   537 |    0.0002    0.3318 |
  537.000     1   538 |    0.0002    0.3319 |
  538.000     1   539 |    0.0005    0.3324 |
  539.000     1   540 |    0.0002    0.3326 |
  540.000     1   541 |    0.0002    0.3328 |
  541.000     1   542 |    0.0002    0.3329 |
  542.000     1   543 |    0.0009    0.3339 |
  543.000     1   544 |    0.0011    0.3350 |
  544.000     1   545 |    0.0006    0.3356 |
  545.000     1   546 |    0.0009    0.3365 |
  546.000     1   547 |    0.0006    0.3372 |
  547.000     1   548 |    0.0002    0.3373 |
  548.000     1   549 |    0.0010    0.3383 |
  549.000     1   550 |    0.0010    0.3392 |
  550.000     1   551 |    0.0002    0.3394 |
  551.000     1   552 |    0.0002    0.3396 |
  552.000     1   553 |    0.0002    0.3398 |
  553.000     1   554 |    0.0002    0.3400 |
  554.000     1   555 |    0.0002    0.3401 |
  555.000     1   556 |    0.0002    0.3403 |
  556.000     1   557 |    0.0002    0.3404 |
  557.000     1   558 |    0.0002    0.3406 |
  558.000     1   559 |    0.0011    0.3417 |
  559.000     1   560 |    0.0002    0.3419 |
  560.000     1   561 |    0.0002    0.3421 |
  561.000     1   562 |    0.0002    0.3422 |
  562.000     1   563 |    0.0010    0.3432 |
  563.000     1   564 |    0.0012    0.3444 |
  564.000     1   565 |    0.0006    0.3450 |
  565.000     1   566 |    0.0009    0.3459 |
  566.000     1   567 |    0.0009    0.3468 |
  567.000     1   568 |    0.0002    0.3469 |
  568.000     1   569 |    0.0002    0.3471 |
  569.000     1   570 |    0.0002    0.3473 |
  570.000     1   571 |    0.0009    0.3482 |
  571.000     1   572 |    0.0013    0.3495 |
  572.000     1   573 |    0.0007    0.3502 |
  573.000     1   574 |    0.0002    0.3504 |
  574.000     1   575 |    0.0009    0.3513 |
  575.000     1   576 |    0.0012    0.3525 |
  576.000     1   577 |    0.0010    0.3535 |
  577.000     1   578 |    0.0002    0.3537 |
  578.000     1   579 |    0.0011    0.3548 |
  579.000     1   580 |    0.0011    0.3560 |
  580.000     1   581 |    0.0002    0.3561 |
  581.000     1   582 |    0.0002    0.3563 |
  582.000     1   583 |    0.0002    0.3564 |
  583.000     1   584 |    0.0009    0.3574 |
  584.000     1   585 |    0.0001    0.3575 |
  585.000     1   586 |    0.0002    0.3577 |
  586.000     1   587 |    0.0011    0.3588 |
  587.000     1   588 |    0.0009    0.3598 |
  588.000     1   589 |    0.0002    0.3599 |
  589.000     1   590 |    0.0009    0.3608 |
  590.000     1   591 |    0.0012    0.3620 |
  591.000     1   592 |    0.0011    0.3632 |
  592.000     1   593 |    0.0012    0.3644 |
  593.000     1   594 |    0.0012    0.3656 |
  594.000     1   595 |    0.0011    0.3667 |
  595.000     1   596 |    0.0011    0.3678 |
  596.000     1   597 |    0.0002    0.3679 |
  597.000     1   598 |    0.0004    0.3684 |
  598.000     1   599 |    0.0012    0.3696 |
  599.000     1   600 |    0.0002    0.3697 |
  600.000     1   601 |    0.0014    0.3711 |
  601.000     1   602 |    0.0009    0.3720 |
  602.000     1   603 |    0.0002    0.3722 |
  603.000     1   604 |    0.0011    0.3733 |
  604.000     1   605 |    0.0009    0.3742 |
