          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  658.000     1     1     1.0    100  65800 |  100 65801    0.0510    0.0005    0.0005 |
  659.000     1     1     1.0    100  65900 |  100 65901    0.0510    0.0005    0.0005 |
  660.000     1     1     1.0    100  66000 |  100 66001    0.0509    0.0005    0.0005 |
  661.000     1     1     1.0    100  66100 |  100 66101    0.0509    0.0005    0.0005 |
  662.000     1     1     1.0    100  66200 |  100 66201    0.0509    0.0005    0.0005 |
  663.000     1     1     1.0    100  66300 |  100 66301    0.0508    0.0005    0.0005 |
  664.000     1     1     1.0    100  66400 |  100 66401    0.0510    0.0005    0.0005 |
  665.000     1     1     1.0    100  66500 |  100 66501    0.0509    0.0005    0.0005 |
  666.000     1     1     1.0    100  66600 |  100 66601    0.0512    0.0005    0.0005 |
  667.000     1     1     1.0    100  66700 |  100 66701    0.0509    0.0005    0.0005 |
  668.000     1     1     1.0    100  66800 |  100 66801    0.0511    0.0005    0.0005 |
  669.000     1     1     1.0    100  66900 |  100 66901    0.0508    0.0005    0.0005 |
  670.000     1     1     1.0    100  67000 |  100 67001    0.0509    0.0005    0.0005 |
  671.000     1     1     1.0    100  67100 |  100 67101    0.0510    0.0005    0.0005 |
  672.000     1     1     1.0    100  67200 |  100 67201    0.0518    0.0005    0.0005 |
  673.000     1     1     1.0    100  67300 |  100 67301    0.0509    0.0005    0.0005 |
  674.000     1     1     1.0    100  67400 |  100 67401    0.0509    0.0005    0.0005 |
  675.000     1     1     1.0    100  67500 |  100 67501    0.0510    0.0005    0.0005 |
  676.000     1     1     1.0    100  67600 |  100 67601    0.0508    0.0005    0.0005 |
  677.000     1     1     1.0    100  67700 |  100 67701    0.0509    0.0005    0.0005 |
  678.000     1     1     1.0    100  67800 |  100 67801    0.0509    0.0005    0.0005 |
  679.000     1     1     1.0    100  67900 |  100 67901    0.0509    0.0005    0.0005 |
  680.000     1     1     1.0    100  68000 |  100 68001    0.0509    0.0005    0.0005 |
  681.000     1     1     1.0    100  68100 |  100 68101    0.0509    0.0005    0.0005 |
  682.000     1     1     1.0    100  68200 |  100 68201    0.0509    0.0005    0.0005 |
  683.000     1     1     1.0    100  68300 |  100 68301    0.0510    0.0005    0.0005 |
  684.000     1     1     1.0    100  68400 |  100 68401    0.0509    0.0005    0.0005 |
  685.000     1     1     1.0    100  68500 |  100 68501    0.0509    0.0005    0.0005 |
  686.000     1     1     1.0    100  68600 |  100 68601    0.0509    0.0005    0.0005 |
  687.000     1     1     1.0    100  68700 |  100 68701    0.0510    0.0005    0.0005 |
  688.000     1     1     1.0    100  68800 |  100 68801    0.0510    0.0005    0.0005 |
  689.000     1     1     1.0    100  68900 |  100 68901    0.0510    0.0005    0.0005 |
  690.000     1     1     1.0    100  69000 |  100 69001    0.0510    0.0005    0.0005 |
  691.000     1     1     1.0    100  69100 |  100 69101    0.0511    0.0005    0.0005 |
  692.000     1     1     1.0    100  69200 |  100 69201    0.0509    0.0005    0.0005 |
  693.000     1     1     1.0    100  69300 |  100 69301    0.0509    0.0005    0.0005 |
  694.000     1     1     1.0    100  69400 |  100 69401    0.0509    0.0005    0.0005 |
  695.000     1     1     1.0    100  69500 |  100 69501    0.0510    0.0005    0.0005 |
  696.000     1     1     1.0    100  69600 |  100 69601    0.0518    0.0005    0.0005 |
  697.000     1     1     1.0    100  69700 |  100 69701    0.0514    0.0005    0.0005 |
  698.000     1     1     1.0    100  69800 |  100 69801    0.0509    0.0005    0.0005 |
  699.000     1     1     1.0    100  69900 |  100 69901    0.0509    0.0005    0.0005 |
  700.000     1     1     1.0    100  70000 |  100 70001    0.0509    0.0005    0.0005 |
  701.000     1     1     1.0    100  70100 |  100 70101    0.0509    0.0005    0.0005 |
  702.000     1     1     1.0    100  70200 |  100 70201    0.0509    0.0005    0.0005 |
  703.000     1     1     1.0    100  70300 |  100 70301    0.0509    0.0005    0.0005 |
  704.000     1     1     1.0    100  70400 |  100 70401    0.0509    0.0005    0.0005 |
  705.000     1     1     1.0    100  70500 |  100 70501    0.0510    0.0005    0.0005 |
  706.000     1     1     1.0    100  70600 |  100 70601    0.0511    0.0005    0.0005 |
  707.000     1     1     1.0    100  70700 |  100 70701    0.0511    0.0005    0.0005 |
  708.000     1     1     1.0    100  70800 |  100 70801    0.0509    0.0005    0.0005 |
  709.000     1     1     1.0    100  70900 |  100 70901    0.0509    0.0005    0.0005 |
  710.000     1     1     1.0    100  71000 |  100 71001    0.0510    0.0005    0.0005 |
  711.000     1     1     1.0    100  71100 |  100 71101    0.0509    0.0005    0.0005 |
  712.000     1     1     1.0    100  71200 |  100 71201    0.0508    0.0005    0.0005 |
  713.000     1     1     1.0    100  71300 |  100 71301    0.0509    0.0005    0.0005 |
  714.000     1     1     1.0    100  71400 |  100 71401    0.0514    0.0005    0.0005 |
  715.000     1     1     1.0    100  71500 |  100 71501    0.0509    0.0005    0.0005 |
  716.000     1     1     1.0    100  71600 |  100 71601    0.0509    0.0005    0.0005 |
  717.000     1     1     1.0    100  71700 |  100 71701    0.0509    0.0005    0.0005 |
  718.000     1     1     1.0    100  71800 |  100 71801    0.0510    0.0005    0.0005 |
  719.000     1     1     1.0    100  71900 |  100 71901    0.0509    0.0005    0.0005 |
  720.000     1     1     1.0    100  72000 |  100 72001    0.0511    0.0005    0.0005 |
  721.000     1     1     1.0    100  72100 |  100 72101    0.0509    0.0005    0.0005 |
  722.000     1     1     1.0    100  72200 |  100 72201    0.0509    0.0005    0.0005 |
  723.000     1     1     1.0    100  72300 |  100 72301    0.0508    0.0005    0.0005 |
  724.000     1     1     1.0    100  72400 |  100 72401    0.0510    0.0005    0.0005 |
  725.000     1     1     1.0    100  72500 |  100 72501    0.0509    0.0005    0.0005 |
  726.000     1     1     1.0    100  72600 |  100 72601    0.0510    0.0005    0.0005 |
  727.000     1     1     1.0    100  72700 |  100 72701    0.0509    0.0005    0.0005 |
  728.000     1     1     1.0    100  72800 |  100 72801    0.0510    0.0005    0.0005 |
  729.000     1     1     1.0    100  72900 |  100 72901    0.0510    0.0005    0.0005 |
  730.000     1     1     1.0    100  73000 |  100 73001    0.0511    0.0005    0.0005 |
  731.000     1     1     1.0    100  73100 |  100 73101    0.0509    0.0005    0.0005 |
  732.000     1     1     1.0    100  73200 |  100 73201    0.0509    0.0005    0.0005 |
  733.000     1     1     1.0    100  73300 |  100 73301    0.0509    0.0005    0.0005 |
  734.000     1     1     1.0    100  73400 |  100 73401    0.0509    0.0005    0.0005 |
  735.000     1     1     1.0    100  73500 |  100 73501    0.0509    0.0005    0.0005 |
  736.000     1     1     1.0    100  73600 |  100 73601    0.0508    0.0005    0.0005 |
  737.000     1     1     1.0    100  73700 |  100 73701    0.0510    0.0005    0.0005 |
  738.000     1     1     1.0    100  73800 |  100 73801    0.0509    0.0005    0.0005 |
  739.000     1     1     1.0    100  73900 |  100 73901    0.0510    0.0005    0.0005 |
  740.000     1     1     1.0    100  74000 |  100 74001    0.0509    0.0005    0.0005 |
  741.000     1     1     1.0    100  74100 |  100 74101    0.0508    0.0005    0.0005 |
  742.000     1     1     1.0    100  74200 |  100 74201    0.0509    0.0005    0.0005 |
  743.000     1     1     1.0    100  74300 |  100 74301    0.0509    0.0005    0.0005 |
  744.000     1     1     1.0    100  74400 |  100 74401    0.0512    0.0005    0.0005 |
  745.000     1     1     1.0    100  74500 |  100 74501    0.0510    0.0005    0.0005 |
  746.000     1     1     1.0    100  74600 |  100 74601    0.0510    0.0005    0.0005 |
  747.000     1     1     1.0    100  74700 |  100 74701    0.0509    0.0005    0.0005 |
  748.000     1     1     1.0    100  74800 |  100 74801    0.0511    0.0005    0.0005 |
  749.000     1     1     1.0    100  74900 |  100 74901    0.0509    0.0005    0.0005 |
  750.000     1     1     1.0    100  75000 |  100 75001    0.0510    0.0005    0.0005 |
