          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  155.000     1     1     1.0    100  15500 |  100 15501    0.0499    0.0005    0.0005 |
  156.000     1     1     1.0    100  15600 |  100 15601    0.0501    0.0005    0.0005 |
  157.000     1     1     1.0    100  15700 |  100 15701    0.0502    0.0005    0.0005 |
  158.000     1     1     1.0    100  15800 |  100 15801    0.0505    0.0005    0.0005 |
  159.000     1     1     1.0    100  15900 |  100 15901    0.0510    0.0005    0.0005 |
  160.000     1     1     1.0    100  16000 |  100 16001    0.0509    0.0005    0.0005 |
  161.000     1     1     1.0    100  16100 |  100 16101    0.0506    0.0005    0.0005 |
  162.000     1     1     1.0    100  16200 |  100 16201    0.0509    0.0005    0.0005 |
  163.000     1     1     1.0    100  16300 |  100 16301    0.0502    0.0005    0.0005 |
  164.000     1     1     1.0    100  16400 |  100 16401    0.0508    0.0005    0.0005 |
  165.000     1     1     1.0    100  16500 |  100 16501    0.0500    0.0005    0.0005 |
  166.000     1     1     1.0    100  16600 |  100 16601    0.0504    0.0005    0.0005 |
  167.000     1     1     1.0    100  16700 |  100 16701    0.0505    0.0005    0.0005 |
  168.000     1     1     1.0    100  16800 |  100 16801    0.0510    0.0005    0.0005 |
  169.000     1     1     1.0    100  16900 |  100 16901    0.0499    0.0005    0.0005 |
  170.000     1     1     1.0    100  17000 |  100 17001    0.0505    0.0005    0.0005 |
  171.000     1     1     1.0    100  17100 |  100 17101    0.0503    0.0005    0.0005 |
  172.000     1     1     1.0    100  17200 |  100 17201    0.0504    0.0005    0.0005 |
  173.000     1     1     1.0    100  17300 |  100 17301    0.0505    0.0005    0.0005 |
  174.000     1     1     1.0    100  17400 |  100 17401    0.0504    0.0005    0.0005 |
  175.000     1     1     1.0    100  17500 |  100 17501    0.0508    0.0005    0.0005 |
  176.000     1     1     1.0    100  17600 |  100 17601    0.0506    0.0005    0.0005 |
  177.000     1     1     1.0    100  17700 |  100 17701    0.0506    0.0005    0.0005 |
  178.000     1     1     1.0    100  17800 |  100 17801    0.0507    0.0005    0.0005 |
  179.000     1     1     1.0    100  17900 |  100 17901    0.0500    0.0005    0.0005 |
  180.000     1     1     1.0    100  18000 |  100 18001    0.0508    0.0005    0.0005 |
  181.000     1     1     1.0    100  18100 |  100 18101    0.0508    0.0005    0.0005 |
  182.000     1     1     1.0    100  18200 |  100 18201    0.0502    0.0005    0.0005 |
  183.000     1     1     1.0    100  18300 |  100 18301    0.0507    0.0005    0.0005 |
  184.000     1     1     1.0    100  18400 |  100 18401    0.0506    0.0005    0.0005 |
  185.000     1     1     1.0    100  18500 |  100 18501    0.0508    0.0005    0.0005 |
  186.000     1     1     1.0    100  18600 |  100 18601    0.0500    0.0005    0.0005 |
  187.000     1     1     1.0    100  18700 |  100 18701    0.0503    0.0005    0.0005 |
  188.000     1     1     1.0    100  18800 |  100 18801    0.0500    0.0005    0.0005 |
  189.000     1     1     1.0    100  18900 |  100 18901    0.0506    0.0005    0.0005 |
  190.000     1     1     1.0    100  19000 |  100 19001    0.0506    0.0005    0.0005 |
  191.000     1     1     1.0    100  19100 |  100 19101    0.0509    0.0005    0.0005 |
  192.000     1     1     1.0    100  19200 |  100 19201    0.0506    0.0005    0.0005 |
  193.000     1     1     1.0    100  19300 |  100 19301    0.0507    0.0005    0.0005 |
  194.000     1     1     1.0    100  19400 |  100 19401    0.0503    0.0005    0.0005 |
  195.000     1     1     1.0    100  19500 |  100 19501    0.0500    0.0005    0.0005 |
  196.000     1     1     1.0    100  19600 |  100 19601    0.0506    0.0005    0.0005 |
  197.000     1     1     1.0    100  19700 |  100 19701    0.0507    0.0005    0.0005 |
  198.000     1     1     1.0    100  19800 |  100 19801    0.0504    0.0005    0.0005 |
  199.000     1     1     1.0    100  19900 |  100 19901    0.0501    0.0005    0.0005 |
  200.000     1     1     1.0    100  20000 |  100 20001    0.0507    0.0005    0.0005 |
  201.000     1     1     1.0    100  20100 |  100 20101    0.0506    0.0005    0.0005 |
  202.000     1     1     1.0    100  20200 |  100 20201    0.0510    0.0005    0.0005 |
  203.000     1     1     1.0    100  20300 |  100 20301    0.0507    0.0005    0.0005 |
  204.000     1     1     1.0    100  20400 |  100 20401    0.0510    0.0005    0.0005 |
  205.000     1     1     1.0    100  20500 |  100 20501    0.0509    0.0005    0.0005 |
  206.000     1     1     1.0    100  20600 |  100 20601    0.0509    0.0005    0.0005 |
  207.000     1     1     1.0    100  20700 |  100 20701    0.0508    0.0005    0.0005 |
  208.000     1     1     1.0    100  20800 |  100 20801    0.0507    0.0005    0.0005 |
  209.000     1     1     1.0    100  20900 |  100 20901    0.0506    0.0005    0.0005 |
  210.000     1     1     1.0    100  21000 |  100 21001    0.0504    0.0005    0.0005 |
  211.000     1     1     1.0    100  21100 |  100 21101    0.0507    0.0005    0.0005 |
  212.000     1     1     1.0    100  21200 |  100 21201    0.0503    0.0005    0.0005 |
  213.000     1     1     1.0    100  21300 |  100 21301    0.0511    0.0005    0.0005 |
