          ----- ----- | --------- --------- |
            cls ttcls |      time  tot time |
  229.000   100 22901 |    0.0039    0.8582 |
  230.000   100 23001 |    0.0039    0.8621 |
  231.000   100 23101 |    0.0040    0.8661 |
  232.000   100 23201 |    0.0039    0.8700 |
  233.000   100 23301 |    0.0040    0.8739 |
  234.000   100 23401 |    0.0040    0.8780 |
  235.000   100 23501 |    0.0040    0.8819 |
  236.000   100 23601 |    0.0041    0.8861 |
  237.000   100 23701 |    0.0040    0.8901 |
  238.000   100 23801 |    0.0041    0.8942 |
  239.000   100 23901 |    0.0042    0.8983 |
  240.000   100 24001 |    0.0040    0.9024 |
  241.000   100 24101 |    0.0040    0.9063 |
  242.000   100 24201 |    0.0039    0.9103 |
  243.000   100 24301 |    0.0040    0.9143 |
  244.000   100 24401 |    0.0039    0.9182 |
  245.000   100 24501 |    0.0039    0.9221 |
  246.000   100 24601 |    0.0039    0.9260 |
  247.000   100 24701 |    0.0039    0.9299 |
  248.000   100 24801 |    0.0039    0.9338 |
  249.000   100 24901 |    0.0039    0.9377 |
  250.000   100 25001 |    0.0039    0.9416 |
  251.000   100 25101 |    0.0039    0.9455 |
  252.000   100 25201 |    0.0039    0.9494 |
  253.000   100 25301 |    0.0039    0.9533 |
  254.000   100 25401 |    0.0039    0.9572 |
  255.000   100 25501 |    0.0039    0.9611 |
  256.000   100 25601 |    0.0039    0.9650 |
  257.000   100 25701 |    0.0039    0.9689 |
  258.000   100 25801 |    0.0039    0.9728 |
  259.000   100 25901 |    0.0039    0.9767 |
  260.000   100 26001 |    0.0039    0.9806 |
  261.000   100 26101 |    0.0039    0.9845 |
  262.000   100 26201 |    0.0039    0.9885 |
  263.000   100 26301 |    0.0039    0.9923 |
  264.000   100 26401 |    0.0039    0.9962 |
  265.000   100 26501 |    0.0039    1.0001 |
  266.000   100 26601 |    0.0039    1.0040 |
  267.000   100 26701 |    0.0039    1.0079 |
  268.000   100 26801 |    0.0039    1.0118 |
  269.000   100 26901 |    0.0039    1.0157 |
  270.000   100 27001 |    0.0039    1.0196 |
  271.000   100 27101 |    0.0039    1.0235 |
  272.000   100 27201 |    0.0039    1.0275 |
  273.000   100 27301 |    0.0039    1.0314 |
  274.000   100 27401 |    0.0039    1.0353 |
  275.000   100 27501 |    0.0039    1.0392 |
  276.000   100 27601 |    0.0039    1.0431 |
  277.000   100 27701 |    0.0039    1.0470 |
  278.000   100 27801 |    0.0040    1.0510 |
  279.000   100 27901 |    0.0041    1.0551 |
  280.000   100 28001 |    0.0041    1.0592 |
  281.000   100 28101 |    0.0041    1.0633 |
  282.000   100 28201 |    0.0041    1.0674 |
  283.000   100 28301 |    0.0041    1.0716 |
  284.000   100 28401 |    0.0040    1.0756 |
  285.000   100 28501 |    0.0041    1.0797 |
  286.000   100 28601 |    0.0040    1.0837 |
  287.000   100 28701 |    0.0039    1.0876 |
  288.000   100 28801 |    0.0039    1.0916 |
  289.000   100 28901 |    0.0039    1.0955 |
  290.000   100 29001 |    0.0039    1.0994 |
