          ----- ----- | --------- --------- |
  231.000     1   232 |    0.0002    0.0600 |
  232.000     1   233 |    0.0004    0.0604 |
  233.000     1   234 |    0.0002    0.0606 |
  234.000     1   235 |    0.0002    0.0608 |
  235.000     1   236 |    0.0002    0.0610 |
  236.000     1   237 |    0.0002    0.0612 |
  237.000     1   238 |    0.0002    0.0614 |
  238.000     1   239 |    0.0002    0.0616 |
  239.000     1   240 |    0.0002    0.0618 |
  240.000     1   241 |    0.0002    0.0620 |
  241.000     1   242 |    0.0002    0.0622 |
  242.000     1   243 |    0.0002    0.0624 |
  243.000     1   244 |    0.0002    0.0626 |
  244.000     1   245 |    0.0002    0.0628 |
  245.000     1   246 |    0.0002    0.0630 |
  246.000     1   247 |    0.0002    0.0631 |
  247.000     1   248 |    0.0002    0.0634 |
  248.000     1   249 |    0.0003    0.0636 |
  249.000     1   250 |    0.0002    0.0639 |
  250.000     1   251 |    0.0002    0.0641 |
  251.000     1   252 |    0.0003    0.0644 |
  252.000     1   253 |    0.0003    0.0647 |
  253.000     1   254 |    0.0002    0.0649 |
  254.000     1   255 |    0.0002    0.0651 |
  255.000     1   256 |    0.0002    0.0653 |
  256.000     1   257 |    0.0013    0.0665 |
  257.000     1   258 |    0.0002    0.0667 |
  258.000     1   259 |    0.0002    0.0669 |
  259.000     1   260 |    0.0002    0.0671 |
  260.000     1   261 |    0.0002    0.0672 |
  261.000     1   262 |    0.0002    0.0674 |
  262.000     1   263 |    0.0002    0.0676 |
  263.000     1   264 |    0.0002    0.0678 |
  264.000     1   265 |    0.0003    0.0681 |
  265.000     1   266 |    0.0002    0.0683 |
  266.000     1   267 |    0.0002    0.0685 |
  267.000     1   268 |    0.0002    0.0687 |
  268.000     1   269 |    0.0002    0.0689 |
  269.000     1   270 |    0.0002    0.0691 |
  270.000     1   271 |    0.0002    0.0693 |
  271.000     1   272 |    0.0002    0.0695 |
  272.000     1   273 |    0.0006    0.0701 |
  273.000     1   274 |    0.0002    0.0703 |
  274.000     1   275 |    0.0002    0.0705 |
  275.000     1   276 |    0.0002    0.0707 |
  276.000     1   277 |    0.0002    0.0708 |
  277.000     1   278 |    0.0002    0.0710 |
  278.000     1   279 |    0.0002    0.0712 |
  279.000     1   280 |    0.0002    0.0714 |
  280.000     1   281 |    0.0011    0.0725 |
  281.000     1   282 |    0.0002    0.0727 |
  282.000     1   283 |    0.0002    0.0729 |
  283.000     1   284 |    0.0002    0.0731 |
  284.000     1   285 |    0.0002    0.0733 |
  285.000     1   286 |    0.0002    0.0734 |
  286.000     1   287 |    0.0002    0.0736 |
  287.000     1   288 |    0.0002    0.0738 |
  288.000     1   289 |    0.0012    0.0750 |
  289.000     1   290 |    0.0002    0.0752 |
  290.000     1   291 |    0.0003    0.0755 |
  291.000     1   292 |    0.0002    0.0756 |
  292.000     1   293 |    0.0002    0.0758 |
  293.000     1   294 |    0.0002    0.0760 |
  294.000     1   295 |    0.0002    0.0762 |
  295.000     1   296 |    0.0002    0.0764 |
  296.000     1   297 |    0.0002    0.0766 |
  297.000     1   298 |    0.0002    0.0768 |
  298.000     1   299 |    0.0002    0.0770 |
  299.000     1   300 |    0.0002    0.0772 |
  300.000     1   301 |    0.0002    0.0774 |
  301.000     1   302 |    0.0002    0.0776 |
  302.000     1   303 |    0.0002    0.0778 |
  303.000     1   304 |    0.0002    0.0780 |
  304.000     1   305 |    0.0003    0.0782 |
  305.000     1   306 |    0.0002    0.0784 |
  306.000     1   307 |    0.0002    0.0786 |
  307.000     1   308 |    0.0002    0.0788 |
  308.000     1   309 |    0.0002    0.0791 |
  309.000     1   310 |    0.0002    0.0793 |
  310.000     1   311 |    0.0002    0.0794 |
  311.000     1   312 |    0.0002    0.0796 |
  312.000     1   313 |    0.0003    0.0800 |
  313.000     1   314 |    0.0003    0.0802 |
  314.000     1   315 |    0.0002    0.0804 |
  315.000     1   316 |    0.0002    0.0806 |
  316.000     1   317 |    0.0002    0.0808 |
  317.000     1   318 |    0.0002    0.0810 |
  318.000     1   319 |    0.0002    0.0812 |
  319.000     1   320 |    0.0002    0.0814 |
  320.000     1   321 |    0.0002    0.0816 |
  321.000     1   322 |    0.0002    0.0818 |
  322.000     1   323 |    0.0002    0.0819 |
  323.000     1   324 |    0.0002    0.0821 |
  324.000     1   325 |    0.0002    0.0823 |
  325.000     1   326 |    0.0002    0.0825 |
  326.000     1   327 |    0.0002    0.0826 |
  327.000     1   328 |    0.0002    0.0828 |
  328.000     1   329 |    0.0002    0.0830 |
  329.000     1   330 |    0.0002    0.0832 |
  330.000     1   331 |    0.0002    0.0834 |
  331.000     1   332 |    0.0002    0.0836 |
  332.000     1   333 |    0.0002    0.0838 |
  333.000     1   334 |    0.0002    0.0839 |
  334.000     1   335 |    0.0002    0.0841 |
  335.000     1   336 |    0.0002    0.0843 |
  336.000     1   337 |    0.0002    0.0845 |
  337.000     1   338 |    0.0002    0.0846 |
  338.000     1   339 |    0.0002    0.0848 |
  339.000     1   340 |    0.0004    0.0852 |
  340.000     1   341 |    0.0002    0.0853 |
  341.000     1   342 |    0.0002    0.0855 |
  342.000     1   343 |    0.0002    0.0857 |
  343.000     1   344 |    0.0002    0.0859 |
  344.000     1   345 |    0.0002    0.0861 |
  345.000     1   346 |    0.0002    0.0863 |
  346.000     1   347 |    0.0002    0.0864 |
  347.000     1   348 |    0.0002    0.0866 |
  348.000     1   349 |    0.0002    0.0868 |
  349.000     1   350 |    0.0002    0.0870 |
  350.000     1   351 |    0.0002    0.0871 |
  351.000     1   352 |    0.0002    0.0873 |
  352.000     1   353 |    0.0002    0.0875 |
  353.000     1   354 |    0.0002    0.0877 |
  354.000     1   355 |    0.0002    0.0879 |
  355.000     1   356 |    0.0002    0.0881 |
  356.000     1   357 |    0.0002    0.0883 |
  357.000     1   358 |    0.0002    0.0885 |
  358.000     1   359 |    0.0002    0.0886 |
  359.000     1   360 |    0.0002    0.0888 |
  360.000     1   361 |    0.0003    0.0891 |
