          ----- ----- -------  -----  ----- | ---- ----- --------- --------- --------- |
          mn it mx it  avg it    its  ttits |   ss    ts        st      stps     stpit |
  117.000     1     1     1.0   1000 117000 | 1000 117001    0.5076    0.0005    0.0005 |
  118.000     1     1     1.0   1000 118000 | 1000 118001    0.5105    0.0005    0.0005 |
  119.000     1     1     1.0   1000 119000 | 1000 119001    0.5119    0.0005    0.0005 |
  120.000     1     1     1.0   1000 120000 | 1000 120001    0.5093    0.0005    0.0005 |
  121.000     1     1     1.0   1000 121000 | 1000 121001    0.5083    0.0005    0.0005 |
  122.000     1     1     1.0   1000 122000 | 1000 122001    0.5087    0.0005    0.0005 |
  123.000     1     1     1.0   1000 123000 | 1000 123001    0.5083    0.0005    0.0005 |
  124.000     1     1     1.0   1000 124000 | 1000 124001    0.5084    0.0005    0.0005 |
  125.000     1     1     1.0   1000 125000 | 1000 125001    0.5098    0.0005    0.0005 |
  126.000     1     1     1.0   1000 126000 | 1000 126001    0.5096    0.0005    0.0005 |
  127.000     1     1     1.0   1000 127000 | 1000 127001    0.5095    0.0005    0.0005 |
  128.000     1     1     1.0   1000 128000 | 1000 128001    0.5096    0.0005    0.0005 |
  129.000     1     1     1.0   1000 129000 | 1000 129001    0.5093    0.0005    0.0005 |
  130.000     1     1     1.0   1000 130000 | 1000 130001    0.5088    0.0005    0.0005 |
  131.000     1     1     1.0   1000 131000 | 1000 131001    0.5084    0.0005    0.0005 |
  132.000     1     1     1.0   1000 132000 | 1000 132001    0.5086    0.0005    0.0005 |
  133.000     1     1     1.0   1000 133000 | 1000 133001    0.5086    0.0005    0.0005 |
  134.000     1     1     1.0   1000 134000 | 1000 134001    0.5092    0.0005    0.0005 |
  135.000     1     1     1.0   1000 135000 | 1000 135001    0.5089    0.0005    0.0005 |
  136.000     1     1     1.0   1000 136000 | 1000 136001    0.5083    0.0005    0.0005 |
  137.000     1     1     1.0   1000 137000 | 1000 137001    0.5082    0.0005    0.0005 |
  138.000     1     1     1.0   1000 138000 | 1000 138001    0.5080    0.0005    0.0005 |
  139.000     1     1     1.0   1000 139000 | 1000 139001    0.5083    0.0005    0.0005 |
  140.000     1     1     1.0   1000 140000 | 1000 140001    0.5093    0.0005    0.0005 |
  141.000     1     1     1.0   1000 141000 | 1000 141001    0.5075    0.0005    0.0005 |
  142.000     1     1     1.0   1000 142000 | 1000 142001    0.5085    0.0005    0.0005 |
  143.000     1     1     1.0   1000 143000 | 1000 143001    0.5082    0.0005    0.0005 |
  144.000     1     1     1.0   1000 144000 | 1000 144001    0.5081    0.0005    0.0005 |
  145.000     1     1     1.0   1000 145000 | 1000 145001    0.5080    0.0005    0.0005 |
  146.000     1     1     1.0   1000 146000 | 1000 146001    0.5078    0.0005    0.0005 |
  147.000     1     1     1.0   1000 147000 | 1000 147001    0.5085    0.0005    0.0005 |
  148.000     1     1     1.0   1000 148000 | 1000 148001    0.5094    0.0005    0.0005 |
  149.000     1     1     1.0   1000 149000 | 1000 149001    0.5089    0.0005    0.0005 |
  150.000     1     1     1.0   1000 150000 | 1000 150001    0.5083    0.0005    0.0005 |
  151.000     1     1     1.0   1000 151000 | 1000 151001    0.5079    0.0005    0.0005 |
  152.000     1     1     1.0   1000 152000 | 1000 152001    0.5074    0.0005    0.0005 |
  153.000     1     1     1.0   1000 153000 | 1000 153001    0.5079    0.0005    0.0005 |
  154.000     1     1     1.0   1000 154000 | 1000 154001    0.5076    0.0005    0.0005 |
  155.000     1     1     1.0   1000 155000 | 1000 155001    0.5077    0.0005    0.0005 |
  156.000     1     1     1.0   1000 156000 | 1000 156001    0.5078    0.0005    0.0005 |
  157.000     1     1     1.0   1000 157000 | 1000 157001    0.5086    0.0005    0.0005 |
  158.000     1     1     1.0   1000 158000 | 1000 158001    0.5079    0.0005    0.0005 |
  159.000     1     1     1.0   1000 159000 | 1000 159001    0.5084    0.0005    0.0005 |
  160.000     1     1     1.0   1000 160000 | 1000 160001    0.5091    0.0005    0.0005 |
  161.000     1     1     1.0   1000 161000 | 1000 161001    0.5093    0.0005    0.0005 |
  162.000     1     1     1.0   1000 162000 | 1000 162001    0.5089    0.0005    0.0005 |
  163.000     1     1     1.0   1000 163000 | 1000 163001    0.5082    0.0005    0.0005 |
  164.000     1     1     1.0   1000 164000 | 1000 164001    0.5097    0.0005    0.0005 |
  165.000     1     1     1.0   1000 165000 | 1000 165001    0.5091    0.0005    0.0005 |
  166.000     1     1     1.0   1000 166000 | 1000 166001    0.5093    0.0005    0.0005 |
  167.000     1     1     1.0   1000 167000 | 1000 167001    0.5086    0.0005    0.0005 |
  168.000     1     1     1.0   1000 168000 | 1000 168001    0.5109    0.0005    0.0005 |
  169.000     1     1     1.0   1000 169000 | 1000 169001    0.5098    0.0005    0.0005 |
  170.000     1     1     1.0   1000 170000 | 1000 170001    0.5083    0.0005    0.0005 |
  171.000     1     1     1.0   1000 171000 | 1000 171001    0.5439    0.0005    0.0005 |
  172.000     1     1     1.0   1000 172000 | 1000 172001    0.6895    0.0007    0.0007 |
  173.000     1     1     1.0   1000 173000 | 1000 173001    0.5842    0.0006    0.0006 |
  174.000     1     1     1.0   1000 174000 | 1000 174001    0.5247    0.0005    0.0005 |
  175.000     1     1     1.0   1000 175000 | 1000 175001    0.5151    0.0005    0.0005 |
  176.000     1     1     1.0   1000 176000 | 1000 176001    0.5094    0.0005    0.0005 |
  177.000     1     1     1.0   1000 177000 | 1000 177001    0.5110    0.0005    0.0005 |
  178.000     1     1     1.0   1000 178000 | 1000 178001    0.5144    0.0005    0.0005 |
  179.000     1     1     1.0   1000 179000 | 1000 179001    0.5117    0.0005    0.0005 |
  180.000     1     1     1.0   1000 180000 | 1000 180001    0.5115    0.0005    0.0005 |
  181.000     1     1     1.0   1000 181000 | 1000 181001    0.5419    0.0005    0.0005 |
  182.000     1     1     1.0   1000 182000 | 1000 182001    0.5172    0.0005    0.0005 |
  183.000     1     1     1.0   1000 183000 | 1000 183001    0.5258    0.0005    0.0005 |
  184.000     1     1     1.0   1000 184000 | 1000 184001    0.5900    0.0006    0.0006 |
  185.000     1     1     1.0   1000 185000 | 1000 185001    0.5660    0.0006    0.0006 |
  186.000     1     1     1.0   1000 186000 | 1000 186001    0.5097    0.0005    0.0005 |
  187.000     1     1     1.0   1000 187000 | 1000 187001    0.5202    0.0005    0.0005 |
  188.000     1     1     1.0   1000 188000 | 1000 188001    0.5576    0.0006    0.0006 |
  189.000     1     1     1.0   1000 189000 | 1000 189001    0.5220    0.0005    0.0005 |
  190.000     1     1     1.0   1000 190000 | 1000 190001    0.5179    0.0005    0.0005 |
